City_name,province_id
Attock,1
Bahawalnagar,1
Bahawalpur,1
Bhakkar,1
Chakwal,1
Chiniot,1
Dera Ghazi Khan,1
Faisalabad,1
Gujranwala,1
Gujrat,1
Hafizabad,1
Jhang,1
Jhelum,1
Kasur,1
Khanewal,1
Khushab,1
Lahore,1
Layyah,1
Lodhran,1
Mandi Bahauddin,1
Mianwali,1
Multan,1
Muzaffargarh,1
Nankana Sahib,1
Narowal,1
Okara,1
Pakpattan,1
Rahim Yar Khan,1
Rajanpur,1
Rawalpindi,1
Sahiwal,1
Sargodha,1
Sheikhupura,1
Sialkot,1
Toba Tek Singh,1
Vehari,1
Murree,1
Talagang,1
Taunsa,1
Kot Addu,1
Badin,2
Dadu,2
Ghotki,2
Hyderabad,2
Jacobabad,2
Jamshoro,2
Karachi Central,2
Karachi East,2
Karachi South,2
Karachi West,2
Karachi Malir,2
Kashmore,2
Khairpur,2
Larkana,2
Matiari,2
Mirpurkhas,2
Naushahro Feroze,2
Qambar Shahdadkot,2
Sanghar,2
Shaheed Benazirabad,2
Shikarpur,2
Sukkur,2
Tando Allahyar,2
Tando Muhammad Khan,2
Tharparkar,2
Thatta,2
Umerkot,2
Sujawal,2
Malir Cantonment,2
Abbottabad,3
Bajaur,3
Bannu,3
Battagram,3
Buner,3
Charsadda,3
Chitral Lower,3
Chitral Upper,3
Dera Ismail Khan,3
Hangu,3
Haripur,3
Karak,3
Khyber,3
Kohat,3
Kolai Palas,3
Kurram,3
Lakki Marwat,3
Lower Dir,3
Lower Kohistan,3
Malakand,3
Mansehra,3
Mardan,3
Mohmand,3
North Waziristan,3
Nowshera,3
Orakzai,3
Peshawar,3
Shangla,3
South Waziristan,3
Swabi,3
Swat,3
Tank,3
Torghar,3
Upper Dir,3
Upper Kohistan,3
Awaran,4
Barkhan,4
Chagai,4
Dera Bugti,4
Gwadar,4
Harnai,4
Hub,4
Jafarabad,4
Jhal Magsi,4
Kachhi,4
Kalat,4
Kech,4
Kharan,4
Khuzdar,4
Killa Abdullah,4
Killa Saifullah,4
Kohlu,4
Lasbela,4
Loralai,4
Mastung,4
Musakhel,4
Naseerabad,4
Nushki,4
Panjgur,4
Pishin,4
Quetta,4
Sherani,4
Sibi,4
Sohbatpur,4
Washuk,4
Zhob,4
Ziarat,4
Usta Muhammad,4
Lehri,4
Astore,5
Diamer,5
Ghizer,5
Gilgit,5
Ghanche,5
Hunza,5
Kharmang,5
Nagar,5
Shigar,5
Skardu,5
Bagh,6
Bhimber,6
Hattian Bala,6
Haveli,6
Kotli,6
Mirpur,6
Muzaffarabad,6
Neelum,6
Poonch,6
Sudhnuti,6
Islamabad,7
